location; city; country; geolocalisation
Makepe Missoke; Douala; Cameroun; 4.064356801221532, 9.737419153651436
Bepanda; Douala; Cameroun; 4.054086990650905, 9.726279904721332
Nyalla; Douala; Cameroun; 4.038004770345266, 9.768083605625586
Akwa I; Douala; Cameroun;4.057398782125412, 9.696666699999998
